tweet_time,tweet_id,username,tweet_text,source,favourite,retweet,clean
5/2/2020 6:57,1.25637E+18,Defin_dwi,"@Franzkidz @bukalapak @jokowi @achmadzaky @Madri50962357 Gini amat twitter,orang berkeluh kesana malah kena buly",Twitter for Android,1,0,gin amat twitterorang keluh kesana malah kena buly
5/2/2020 6:38,1.25637E+18,mosyansosmed,https://t.co/nvj7arEBTC  BL : https://t.co/2hXI70FHjE  FP : https://t.co/PjyZJIMbB2,twittbot.net,0,0,bl fp
5/2/2020 6:37,1.25637E+18,teaquillagurl,"Tokped, bukalapak semua PO dan ongkirnya mahal bet say :(",Twitter for iPhone,0,0,tokped bukalapak semua po dan ongkirnya mahal bet say
5/2/2020 6:23,1.25636E+18,9590a03dfb1340c,Liong Nyenjun https://t.co/8ZB5wfD6GJ,Twitter Web Client,0,0,liong nyenjun
5/2/2020 6:03,1.25636E+18,yogatampar,"@Franzkidz @bukalapak @jokowi @achmadzaky @Madri50962357 Ini yang pada belain, pagawainya kali ya? Wkwk",TweetDeck,1,0,ini yang pada bain pagawainya kali ya wkwk
5/2/2020 6:03,1.25636E+18,eghisaputra826,Cek disini https://t.co/fB83GF67Z1 Perlengkapan yang kamu butuhkan ada semua dan harganya terbaik untuk kamu.,twittbot.net,0,0,cek sini lengkap yang kamu butuh ada semua dan harga baik untuk kamu
5/2/2020 6:03,1.25636E+18,mimif_01,Jual followers - Instagram - Twitter - Bukalapak - Tokopedia - Shopee Wa 0816.220.553 13,twittbot.net,0,0,jual followers instagram twitter bukalapak tokopedia shopee wa 0816220553 13
5/2/2020 6:03,1.25636E+18,mimif_02,Jual followers - Instagram - Twitter - Bukalapak - Tokopedia - Shopee Wa 0816.220.553 8,twittbot.net,0,0,jual followers instagram twitter bukalapak tokopedia shopee wa 0816220553 8
5/2/2020 6:03,1.25636E+18,mimif_04,Jual followers - Instagram - Twitter - Bukalapak - Tokopedia - Shopee Wa 0816.220.553 #followers #twitter 8,twittbot.net,0,0,jual followers instagram twitter bukalapak tokopedia shopee wa 0816220553 8
5/2/2020 6:02,1.25636E+18,mimif_05,Jual followers - Instagram - Twitter - Bukalapak - Tokopedia - Shopee Wa 0816.220.553 #followers #like #lfl #indonesia 8,twittbot.net,0,0,jual followers instagram twitter bukalapak tokopedia shopee wa 0816220553 8
5/2/2020 5:54,1.25636E+18,marwatiharumi,@dr_koko28 @sandiuno @bukalapak,Twitter for Android,4,0,
5/2/2020 5:50,1.25636E+18,GAMEREFF,"/GR/ guyss bantu aku potongharga di bukalapak donggg plisss, makasi・・･ｺ",Smartphone Esia Hidayah ,0,0,gr guyss bantu aku potongharga di bukalapak donggg plisss makas
