tweet_time,tweet_id,username,tweet_text,source,favourite,retweet,clean
2020-05-03 06:59:50,1256735180376530944,JR_tgthr,ฝากด้วยน้าาา #ShopeeFarmFromHome #รดมารดกลับ​  ​https://t.co/P7GyWGvvr2,Twitter for Android,0,1,
2020-05-03 06:59:40,1256735136575442944,sasharihta,@AndriannyAS Tiap gue buka shopee mah jd siram-siraman mulu kerjaannya..udh sana cepetan panen,Twitter for iPhone,0,0,tiap gue buka shopee mah jd siramsiraman mulu kerjaannyaudh sana cepetan panen
2020-05-03 06:59:37,1256735126387478528,dessytiyass,@ngalamfess https://t.co/cvuHJtBIWu tapi bukan di malang,Twitter for Android,0,0,tapi bukan di malang
2020-05-03 06:59:17,1256735040874004482,LiaApri33041270,Assalamu'alaikum panen dulu yukk Bantu siram tanamanku. Kamu juga bisa panen THR total 10M di Shopee sekarang! https://t.co/6MggkB48Zk  #ShopeeTanamTHR10M #ShopeeTanamTHR10M  #SirBal https://t.co/z88Gddkbor,Twitter for Android,1,0,assalamualaikum panen dulu yukk bantu siram tanam kamu juga bisa panen thr total 10m di shopee sekarang
2020-05-03 06:59:10,1256735012788944896,valendgranith,@primanandaak Iyakkk wkw ke ruparupa sih sama shopee tapi kok ongkir ke rumah mihil juga :)),Twitter for Android,0,0,iyakkk wkw ke ruparupa sih sama shopee tapi kok ongkir ke rumah mihil juga
2020-05-03 06:59:06,1256734997186138112,Y02dieX6Jzbi3ku,"ปาเข้าเป้า เหมารางวัล! แจกทุกวันกับ 65,000 Shopee Coins #ShopeeThrow   https://t.co/ykY1w8cgYJ https://t.co/qKdHLznVUS",Twitter for Android,0,0,65000 shopee coins
2020-05-03 06:59:02,1256734978097836032,herna_hern,Saya menjual Gamis Dewasa... seharga Rp200.000. Dapatkan produk ini hanya di Shopee! https://t.co/pzN1hAvPk4 #ShopeeID https://t.co/Q3R3rfpgSb,Shopee_ID,0,0,saya jual gamis dewasa harga rp200000 dapat produk ini hanya di shopee
2020-05-03 06:58:48,1256734919788646401,fern_fjy,คำทำนายประจำสัปดาห์มาแล้วจ้า! รีบเข้าไปเช็คดวงกับ a ดวงกันได้เลย เพียงแชร์คำทำนายของคุณก็รับ COINS ไปเลย และนี่ก็คือคำทำนายของฉัน การเงิน : 8/10 คะแนน จังหวะที่ดีในการขายเก็งกำไร หุ้น ที่ดิน ทองคำ ห #Shopeeดูดวง  https://t.co/gLmjMAlSKB https://t.co/wJVyE0Wlq3,Twitter for Android,0,0,a coins 810
2020-05-03 06:58:43,1256734897005187072,ish_hidayati,Saya menjual Action Figure Harry Potter &amp; Hermione seharga Rp65.000. Dapatkan produk ini hanya di Shopee! https://t.co/EJdMck67Tw #ShopeeID https://t.co/NDA5gpmpVU,Twitter for Android,0,0,saya jual action figure harry potter amp hermione harga rp65000 dapat produk ini hanya di shopee
2020-05-03 06:58:40,1256734887924518912,pichetsuzuki,แดนซ์ไปกับน้องโชกี้ แจกฟรีทุกวัน! Shopee coins และโค้ดส่งฟรี https://t.co/hzcRA1QoQU https://t.co/hFPuYFpFxD,Twitter for Android,0,0,shopee coins
2020-05-03 06:58:30,1256734843418710017,313Olshop,Saya menjual GARUDA KACANG... seharga Rp10.000. Dapatkan produk ini hanya di Shopee! https://t.co/6EjpRsUwhz #ShopeeID https://t.co/vexeG2qCdz,Shopee_ID,0,0,saya jual garuda kacang harga rp10000 dapat produk ini hanya di shopee
2020-05-03 06:58:28,1256734836934365184,bxpanad_,คำทำนายประจำสัปดาห์มาแล้วจ้า! รีบเข้าไปเช็คดวงกับ a ดวงกันได้เลย เพียงแชร์คำทำนายของคุณก็รับ COINS ไปเลย และนี่ก็คือคำทำนายของฉัน คนโสด : 7/10 คะแนน มีคนอายุน้อยกว่าเข้ามาให้ความสนใจ เราก็คุยได้แค่พอกระชุ่มกระชวย แต่ยังไม่คิดจริงจัง   #Shopeeดูดวง  https://t.co/lSkqWFFimN https://t.co/zWcDevERur,Twitter for Android,0,0,a coins 710
2020-05-03 06:58:27,1256734829640478720,ish_hidayati,Saya menjual Action Figure... seharga Rp65.000. Dapatkan produk ini hanya di Shopee! https://t.co/EJdMck67Tw #ShopeeID https://t.co/bbZp6CVzLE,Shopee_ID,0,0,saya jual action figure harga rp65000 dapat produk ini hanya di shopee
2020-05-03 06:58:26,1256734825974689792,risa__yo,"Ayo, main ShopeePoly &amp; menangkan berbagai hadiah menarik! https://t.co/PBIQoaPZji https://t.co/nClww1Rf18",Shopee_ID,0,0,ayo main shopeepoly amp menang bagai hadiah tarik
2020-05-03 06:58:19,1256734799609266176,beautedefemmeid,Saya menjual WUB Skin Bea... seharga Rp350.000. Dapatkan produk ini hanya di Shopee! https://t.co/lbSH2wLYns #ShopeeID https://t.co/cQuPk1ahZz,Shopee_ID,0,0,saya jual wub skin bea harga rp350000 dapat produk ini hanya di shopee
2020-05-03 06:58:13,1256734774330195968,may113loveniyai,📌 การสั่งซื้อ 1.​inbox 2.Shopeeลิงก์สินค้า https://t.co/qdmeVWk6ho 3.​โทร​ศัพท์​ หรือ​ LINE​ ID​ : 0909099871​  📌 ระยะเวลาจัดเตรียมสินค้า 1-2 วัน เนื่องจากมีการผลิตสดใหม่ทุกออเดอร์ โดยปกติจะจัดส่งภายในวันรุ่งขึ้นหรือถัดไปอีกหนึ่งวัน,Twitter for Android,2,3,1 inbox 2shopee 3 line id 0909099871 12
