tweet_time,tweet_id,username,tweet_text,source,favourite,retweet,clean
2020-05-03 06:59:56,1256735206112759808,theresiatanzil,"Went to Tokopedia to change my password, ended up looking for my ID card trying to upgrade my account to buy some gold before I remembered what I came there for. Oh attention span....  Etapi gila sih semua data diri yg dimasukin org... kelar semua. alamat, kontak, data pembelian?",Twitter for Android,2,0,went to tokopedia to change my password ended up looking for my id card trying to upgrade my account to buy some gold before i remembered what i came there for oh attention span etapi gila sih semua data diri yg dimasukin org kelar semua alamat kontak data beli
2020-05-03 06:59:56,1256735205081190407,TokopediaCare,"@answeriz Hai Kak, maaf ya atas ketidaknyamanannya. Yuk bisa infokan email akun Tokopedia yang terhubung dengan OVO PayLater Kakak melalui DM agar bisa Bulan cek lebih lajut. Thanks",Salesforce - Social Studio,0,0,hai kak maaf ya atas ketidaknyamanannya yuk bisa info email akun tokopedia yang hubung dengan ovo paylater kakak lalu dm agar bisa bulan cek lebih lajut thanks
2020-05-03 06:59:53,1256735193425010689,JuninBagus,@decision_ @TokopediaCare Kalo boleh tau kata cs tokopedia apa ka? Ini saya belum dibales bales ka,Twitter for Android,0,0,kalo boleh tau kata cs tokopedia apa ka ini saya belum dibales bales ka
2020-05-03 06:59:53,1256735190275121153,mamalembot,apa yg harus kulakukan dengan tokopedia,Twitter for Android,0,0,apa yg harus laku dengan tokopedia
2020-05-03 06:59:46,1256735161326034944,Rasyied,https://t.co/J42f0BzEFR https://t.co/XWaUtF3SvW,Twitter Web App,0,0,
2020-05-03 06:59:37,1256735125963825152,edokkz,https://t.co/0W2OvtFunc,Twitter Web App,0,0,
2020-05-03 06:59:31,1256735100835938310,GilangHamidy,@teddynyadisney @akuprivasiloh @XxGr33 @fadhiil_rachman @underthebreach @tokopedia Itu kan bukan referensi ilmiah masbroh. Kita kan nyari legitimasi apakah @haveibeenpwned itu legit atau tidak. Konsensus di dunia infosec bilang itu LEGIT dan aman. Orangnya juga terverifikasi. Jadi jangan nyebarin disinformasi kalo ini phising.,Twitter for Android,1,0,itu kan bukan referensi ilmiah masbroh kita kan nyari legitimasi apakah itu legit atau tidak konsensus di dunia infosec bilang itu legit dan aman orang juga verifikasi jadi jangan nyebarin disinformasi kalo ini phising
2020-05-03 06:59:23,1256735067755343872,azhamudev,"@Lavedae @ErollG @underthebreach @tokopedia @TokopediaCare Sudah mba sedang diinvestigasi, namun masih tertutup dari kabar pegawainya",Twitter for Android,0,0,sudah mba sedang investigasi namun masih tutup dari kabar pegawai
2020-05-03 06:59:04,1256734984645328898,hackingSchoolKe,"Hacker leaks 15 million records from Tokopedia, Indonesia's largest online store https://t.co/U4dtDdnLGV  The Tokopedia data has been published on a well-known hacking forum.",Twitter for Android,1,0,hacker leaks 15 million records from tokopedia indonesias largest online store the tokopedia data has been published on a wellknown hacking forum
2020-05-03 06:59:01,1256734973643468801,naerunae,"@Wahyuivan999I @underthebreach At least encrypt at rest, decrypt as necessary.  This also highlights an issue with Tokopedia. No way to remove personal information, or no way to remove your account from the service.  Regarding first point, see picture related. https://t.co/NZ5KtaFjkC",Twitter Web App,1,1,at least encrypt at rest decrypt as necessary this also highlights an issue with tokopedia no way to remove personal information or no way to remove your account from the service regarding first point see picture related
2020-05-03 06:58:38,1256734879493939200,MayPutraDaya,Gua beli produk ini di Tokopedia aman aman aja si https://t.co/GnQSrHrIkG,Twitter for Android,0,0,gua beli produk ini di tokopedia aman aman aja si
2020-05-03 06:58:31,1256734847696920577,rosatamarindus,"@GilangHamidy @fadhiil_rachman @underthebreach @tokopedia Wkwk sepuntenipun, mas. Kulo kesel ningali niku pake capslock segala 😅",Twitter Web App,0,0,wkwk sepuntenipun mas kulo kesel ningali niku pake capslock segala
2020-05-03 06:58:30,1256734842814787584,edokkz,https://t.co/n4oZguZUMp,Twitter Web App,0,0,
2020-05-03 06:58:18,1256734792478945280,Nurullitarhy,"@tuhudahgakosong @yoelhien @GilangHamidy @underthebreach @tokopedia Eh tp aman ga sih, aku nda paham.. dagdigdug gt jadinya raguragu bgt:(",Twitter for Android,0,0,eh tp aman ga sih aku nda paham dagdigdug gt jadi raguragu bgt
